run_id,episode,reward,avg_wait_time,epsilon,alpha,gamma,epsilon_decay,deliveries,energy_used
qlearning_v1,198,-28720.8,57.83,0.1367,0.1,0.99,0.99,5,76
qlearning_v1,199,-28235.6,91.33,0.13533,0.1,0.99,0.99,13,97
qlearning_v1,200,-27782.8,77.45,0.13398,0.1,0.99,0.99,16,126
qlearning_v1,201,-29568.1,95.65,0.13264,0.1,0.99,0.99,12,107
qlearning_v1,202,-30947.7,79.45,0.13131,0.1,0.99,0.99,14,74
qlearning_v1,203,-29841.7,58.82,0.13,0.1,0.99,0.99,3,94
qlearning_v1,204,-27781.3,72.93,0.1287,0.1,0.99,0.99,7,56
qlearning_v1,205,-28584.0,76.17,0.12741,0.1,0.99,0.99,10,90
qlearning_v1,206,-27634.0,65.6,0.12614,0.1,0.99,0.99,12,95
qlearning_v1,207,-27184.7,66.32,0.12488,0.1,0.99,0.99,14,89
qlearning_v1,208,-28023.9,41.71,0.12363,0.1,0.99,0.99,6,73
qlearning_v1,209,-25919.9,100.84,0.12239,0.1,0.99,0.99,17,108
qlearning_v1,210,-28104.8,108.41,0.12117,0.1,0.99,0.99,21,101
qlearning_v1,211,-30005.3,89.19,0.11996,0.1,0.99,0.99,19,86
qlearning_v1,212,-28870.0,85.57,0.11876,0.1,0.99,0.99,17,85
qlearning_v1,213,-26765.5,90.16,0.11757,0.1,0.99,0.99,12,105
qlearning_v1,214,-27788.9,46.46,0.11639,0.1,0.99,0.99,6,88
qlearning_v1,215,-28352.2,61.71,0.11523,0.1,0.99,0.99,13,94
qlearning_v1,216,-30495.7,70.76,0.11408,0.1,0.99,0.99,13,104
qlearning_v1,217,-29050.1,24.07,0.11294,0.1,0.99,0.99,7,42
qlearning_v1,218,-28629.5,43.1,0.11181,0.1,0.99,0.99,2,110
qlearning_v1,219,-29083.7,104.0,0.11069,0.1,0.99,0.99,15,104
qlearning_v1,220,-28684.4,62.09,0.10958,0.1,0.99,0.99,3,93
qlearning_v1,221,-29284.1,88.78,0.10849,0.1,0.99,0.99,1,97
qlearning_v1,222,-28055.4,83.57,0.1074,0.1,0.99,0.99,13,108
qlearning_v1,223,-26169.1,63.06,0.10633,0.1,0.99,0.99,9,107
qlearning_v1,224,-28384.7,78.11,0.10526,0.1,0.99,0.99,1,114
qlearning_v1,225,-29744.9,79.88,0.10421,0.1,0.99,0.99,10,78
qlearning_v1,226,-27951.9,51.4,0.10317,0.1,0.99,0.99,7,108
qlearning_v1,227,-29499.0,62.6,0.10214,0.1,0.99,0.99,7,65
qlearning_v1,228,-27214.8,78.21,0.10112,0.1,0.99,0.99,11,81
qlearning_v1,229,-28111.8,90.21,0.10011,0.1,0.99,0.99,11,86
qlearning_v1,230,-29201.5,33.25,0.0991,0.1,0.99,0.99,4,90
qlearning_v1,231,-31796.9,60.25,0.09811,0.1,0.99,0.99,7,83
qlearning_v1,232,-29018.6,85.68,0.09713,0.1,0.99,0.99,11,77
qlearning_v1,233,-30087.6,87.07,0.09616,0.1,0.99,0.99,6,72
qlearning_v1,234,-28189.5,78.41,0.0952,0.1,0.99,0.99,14,110
qlearning_v1,235,-28316.0,44.0,0.09425,0.1,0.99,0.99,8,75
qlearning_v1,236,-30840.7,86.05,0.09331,0.1,0.99,0.99,11,84
qlearning_v1,237,-26247.6,69.04,0.09237,0.1,0.99,0.99,15,87
qlearning_v1,238,-28126.1,75.12,0.09145,0.1,0.99,0.99,9,112
qlearning_v1,239,-28833.9,49.67,0.09053,0.1,0.99,0.99,4,98
qlearning_v1,240,-28327.3,39.38,0.08963,0.1,0.99,0.99,5,96
qlearning_v1,241,-29385.6,115.7,0.08873,0.1,0.99,0.99,13,97
qlearning_v1,242,-31449.2,88.69,0.08785,0.1,0.99,0.99,8,109
qlearning_v1,243,-26199.8,97.57,0.08697,0.1,0.99,0.99,30,96
qlearning_v1,244,-29977.1,89.0,0.0861,0.1,0.99,0.99,9,87
qlearning_v1,245,-28370.1,88.78,0.08524,0.1,0.99,0.99,19,87
qlearning_v1,246,-29216.9,127.39,0.08438,0.1,0.99,0.99,10,113
qlearning_v1,247,-29387.8,94.67,0.08354,0.1,0.99,0.99,7,96
qlearning_v1,248,-29272.9,64.95,0.0827,0.1,0.99,0.99,13,118
qlearning_v1,249,-30484.5,113.5,0.08188,0.1,0.99,0.99,7,110
qlearning_v1,250,-26370.2,91.47,0.08106,0.1,0.99,0.99,9,79
qlearning_v1,251,-29711.9,101.65,0.08025,0.1,0.99,0.99,13,93
qlearning_v1,252,-29876.7,104.05,0.07945,0.1,0.99,0.99,12,94
qlearning_v1,253,-27681.2,51.36,0.07865,0.1,0.99,0.99,6,79
qlearning_v1,254,-31535.2,117.48,0.07786,0.1,0.99,0.99,13,119
qlearning_v1,255,-28875.6,153.67,0.07709,0.1,0.99,0.99,4,107
qlearning_v1,256,-28299.7,36.18,0.07631,0.1,0.99,0.99,3,74
qlearning_v1,257,-30732.5,165.88,0.07555,0.1,0.99,0.99,0,115
qlearning_v1,258,-29793.4,70.14,0.0748,0.1,0.99,0.99,7,113
qlearning_v1,259,-28797.1,102.0,0.07405,0.1,0.99,0.99,10,92
qlearning_v1,260,-27950.2,5.0,0.07331,0.1,0.99,0.99,0,119
qlearning_v1,261,-29104.4,48.4,0.07257,0.1,0.99,0.99,7,88
qlearning_v1,262,-27816.9,77.76,0.07185,0.1,0.99,0.99,13,88
qlearning_v1,263,-29171.7,48.5,0.07113,0.1,0.99,0.99,2,104
qlearning_v1,264,-27922.3,70.05,0.07042,0.1,0.99,0.99,11,101
qlearning_v1,265,-29656.0,62.5,0.06972,0.1,0.99,0.99,1,110
qlearning_v1,266,-29111.5,93.9,0.06902,0.1,0.99,0.99,13,80
qlearning_v1,267,-29259.6,57.86,0.06833,0.1,0.99,0.99,6,87
qlearning_v1,268,-29099.4,88.21,0.06764,0.1,0.99,0.99,13,108
qlearning_v1,269,-26740.1,70.65,0.06697,0.1,0.99,0.99,9,72
qlearning_v1,270,-28803.2,63.85,0.0663,0.1,0.99,0.99,5,114
qlearning_v1,271,-27755.3,91.43,0.06564,0.1,0.99,0.99,8,101
qlearning_v1,272,-29593.8,115.32,0.06498,0.1,0.99,0.99,14,121
qlearning_v1,273,-29135.4,45.71,0.06433,0.1,0.99,0.99,6,103
qlearning_v1,274,-29632.6,83.1,0.06369,0.1,0.99,0.99,2,92
qlearning_v1,275,-28763.2,76.11,0.06305,0.1,0.99,0.99,11,94
qlearning_v1,276,-29202.6,39.5,0.06242,0.1,0.99,0.99,4,82
qlearning_v1,277,-30633.3,43.57,0.06179,0.1,0.99,0.99,6,66
qlearning_v1,278,-29044.0,50.83,0.06118,0.1,0.99,0.99,4,135
qlearning_v1,279,-28526.0,144.94,0.06056,0.1,0.99,0.99,10,120
qlearning_v1,280,-27473.9,43.93,0.05996,0.1,0.99,0.99,6,108
qlearning_v1,281,-30090.8,108.15,0.05936,0.1,0.99,0.99,13,101
qlearning_v1,282,-28033.3,61.33,0.05877,0.1,0.99,0.99,5,121
qlearning_v1,283,-28365.6,49.85,0.05818,0.1,0.99,0.99,7,107
qlearning_v1,284,-29745.2,146.0,0.0576,0.1,0.99,0.99,8,114
qlearning_v1,285,-30383.7,84.47,0.05702,0.1,0.99,0.99,9,89
qlearning_v1,286,-30223.1,77.64,0.05645,0.1,0.99,0.99,3,102
qlearning_v1,287,-28103.4,104.12,0.05589,0.1,0.99,0.99,16,98
qlearning_v1,288,-28846.6,89.89,0.05533,0.1,0.99,0.99,4,117
qlearning_v1,289,-30701.6,82.25,0.05477,0.1,0.99,0.99,8,152
qlearning_v1,290,-26968.4,143.0,0.05423,0.1,0.99,0.99,2,113
qlearning_v1,291,-28321.0,96.65,0.05368,0.1,0.99,0.99,9,115
qlearning_v1,292,-29145.5,79.21,0.05315,0.1,0.99,0.99,6,105
qlearning_v1,293,-26900.6,88.39,0.05262,0.1,0.99,0.99,10,112
qlearning_v1,294,-30788.1,68.68,0.05209,0.1,0.99,0.99,11,102
qlearning_v1,295,-27559.0,55.17,0.05157,0.1,0.99,0.99,4,135
qlearning_v1,296,-30530.4,139.47,0.05105,0.1,0.99,0.99,11,123
qlearning_v1,297,-29617.4,17.73,0.05054,0.1,0.99,0.99,3,53
qlearning_v1,298,-28758.2,115.67,0.05004,0.1,0.99,0.99,4,79
qlearning_v1,299,-29628.0,75.18,0.05,0.1,0.99,0.99,3,105
qlearning_v1,300,-28874.9,86.96,0.05,0.1,0.99,0.99,15,93
qlearning_v1,301,-28271.3,87.26,0.05,0.1,0.99,0.99,11,91
qlearning_v1,302,-28768.3,0.0,0.05,0.1,0.99,0.99,0,126
qlearning_v1,303,-28123.9,92.73,0.05,0.1,0.99,0.99,15,58
qlearning_v1,304,-29688.0,41.17,0.05,0.1,0.99,0.99,4,50
qlearning_v1,305,-29012.9,86.59,0.05,0.1,0.99,0.99,15,78
qlearning_v1,306,-29902.9,62.81,0.05,0.1,0.99,0.99,13,108
qlearning_v1,307,-30560.3,110.71,0.05,0.1,0.99,0.99,6,111
qlearning_v1,308,-29468.7,124.2,0.05,0.1,0.99,0.99,3,99
qlearning_v1,309,-29214.7,63.55,0.05,0.1,0.99,0.99,3,49
qlearning_v1,310,-28085.4,92.31,0.05,0.1,0.99,0.99,8,58
qlearning_v1,311,-32268.3,41.55,0.05,0.1,0.99,0.99,4,96
qlearning_v1,312,-31128.1,148.0,0.05,0.1,0.99,0.99,3,107
qlearning_v1,313,-30329.6,130.33,0.05,0.1,0.99,0.99,1,127
qlearning_v1,314,-30212.1,172.4,0.05,0.1,0.99,0.99,2,132
qlearning_v1,315,-30305.3,99.32,0.05,0.1,0.99,0.99,14,106
qlearning_v1,316,-30235.0,113.65,0.05,0.1,0.99,0.99,12,130
qlearning_v1,317,-28261.7,65.05,0.05,0.1,0.99,0.99,14,69
qlearning_v1,318,-28834.0,75.56,0.05,0.1,0.99,0.99,9,105
qlearning_v1,319,-29902.0,13.1,0.05,0.1,0.99,0.99,2,100
qlearning_v1,320,-29124.6,113.89,0.05,0.1,0.99,0.99,10,112
qlearning_v1,321,-29354.4,37.4,0.05,0.1,0.99,0.99,7,83
qlearning_v1,322,-30149.1,0.0,0.05,0.1,0.99,0.99,0,117
qlearning_v1,323,-29455.8,99.38,0.05,0.1,0.99,0.99,8,81
qlearning_v1,324,-28738.1,87.64,0.05,0.1,0.99,0.99,6,97
qlearning_v1,325,-31154.5,68.55,0.05,0.1,0.99,0.99,3,115
qlearning_v1,326,-30277.1,157.73,0.05,0.1,0.99,0.99,3,117
qlearning_v1,327,-29608.3,48.2,0.05,0.1,0.99,0.99,2,121
qlearning_v1,328,-29050.4,134.3,0.05,0.1,0.99,0.99,2,113
qlearning_v1,329,-29956.2,108.9,0.05,0.1,0.99,0.99,2,89
qlearning_v1,330,-28658.6,136.26,0.05,0.1,0.99,0.99,12,112
qlearning_v1,331,-28873.4,64.75,0.05,0.1,0.99,0.99,14,88
qlearning_v1,332,-29370.3,84.15,0.05,0.1,0.99,0.99,5,131
qlearning_v1,333,-28619.7,83.71,0.05,0.1,0.99,0.99,9,104
qlearning_v1,334,-26502.7,106.69,0.05,0.1,0.99,0.99,7,114
qlearning_v1,335,-29639.6,106.23,0.05,0.1,0.99,0.99,5,102
qlearning_v1,336,-29973.1,46.7,0.05,0.1,0.99,0.99,3,137
qlearning_v1,337,-27965.2,123.83,0.05,0.1,0.99,0.99,10,94
qlearning_v1,338,-28897.1,73.42,0.05,0.1,0.99,0.99,4,82
